time,ecg_signal
0.918,-0.254
0.92,-0.376
0.922,-0.669
0.924,-0.987
0.926,-1.204
0.928,-1.37
0.93,-1.497
0.932,-1.473
0.934,-1.287
0.936,-0.911
0.938,-0.64
0.94,-0.435
0.942,-0.313
0.944,-0.254
0.946,-0.361
0.948,-0.654
0.95,-0.987
0.952,-1.214
0.954,-1.39
0.956,-1.531
0.958,-1.517
0.96,-1.331
0.962,-0.946
0.964,-0.664
0.966,-0.449
0.968,-0.322
0.97,-0.254
0.972,-0.342
0.974,-0.635
0.976,-0.982
0.978,-1.219
0.98,-1.41
0.982,-1.565
0.984,-1.56
0.986,-1.375
0.988,-0.977
0.99,-0.684
0.992,-0.464
0.994,-0.332
0.996,-0.254
0.998,-0.322
1.0,-0.616
